^Планка угла наружн.110х30х2000 мм 8017 Коричневый (Заказ)^|^^||270|0|0|0|0|d8287887-15bb-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Планка угла наружн.70х30х2000 мм 8017 Коричневый (Заказ)^|^^||185|0|0|0|0|d828788c-15bb-11e5-84e6-d850e649679d|00000000-0000-0000-0000-000000000000||
^Смеситель для кухни с рычагом Monaco хром V-162 (Р)^|^^|1|2 435|0|0|0|0|a12ca46b-245f-11e5-84eb-d850e649679d|00000000-0000-0000-0000-000000000000||
^Смеситель для кухни с вентилями Pris хром V-161 (Р)^|^^||2 120|0|0|0|0|a12ca473-245f-11e5-84eb-d850e649679d|00000000-0000-0000-0000-000000000000||
^П-планка 150х75х150х2000 мм 9003 Белый (Заказ)^|^^||410|0|0|0|0|acef7f2c-195b-11e5-84f5-d850e649679d|00000000-0000-0000-0000-000000000000||
^Угол наружн.фасад.FINE BER Крупный Камень Серо-зеленый 459х140 мм (Заказ)^|^^||470|0|0|0|0|8a7b13e6-1a25-11e5-84f5-d850e649679d|00000000-0000-0000-0000-000000000000||
^Профнастил С-8 1,20х2,20 м 0,4 мм 8017 Коричневый^|^^|53|734|0|0|0|0|806c7f36-2397-11e5-84fc-d850e649679d|00000000-0000-0000-0000-000000000000||
^Профнастил С-8 (0,5) 1,20(1,15)х2,0 м Камень Песчаник (Заказ)^|^^||1 500|0|0|0|0|806c7f45-2397-11e5-84fc-d850e649679d|00000000-0000-0000-0000-000000000000||
^Отлив метал.300х2000 мм 9003 Белый^|^^||420|0|0|0|0|806c7f5d-2397-11e5-84fc-d850e649679d|00000000-0000-0000-0000-000000000000||
^Н.Г Мишура 6 сл 12,5 см 2,0 м 10 цв Е50900 (Р)^|^^|1|150|0|0|0|0|ad2cadc3-76d1-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^***ендова \ондулин\ красн^|^^||250|0|0|0|0|956cb8e8-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^ендова\ондулин\коричн. (П)^|^^||250|0|0|0|0|956cb8ea-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^керамопласт рыжий (Заказ)^|^^||585|0|0|0|0|956cb8f3-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^Щипец 200х1100 мм Коричневый (Р)^|^^|17|174|0|0|0|0|956cb934-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^***J планка ЮП^|^^||150|0|0|0|0|956cb9a0-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^J фаска^|^^||400|0|0|0|0|956cb9a7-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^Блок-хаус Хвоя "АВ" 22х98(90)х6000 мм 6 шт.(90) (Заказ)^|^^||1 080|0|0|0|0|956cb9e4-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^блокхаус 3м   0.038*0.185*3   3шт           АВ^|^^||540|0|0|0|0|956cb9e7-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^Дверь метал. ЭКОНОМ Е40М 2050х860 мет./мет. левая (Р)^|^^||3 990|0|0|0|0|9b70d32c-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^ДСП (Заказ)^|^^||466|0|0|0|0|9b70d348-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^Имитация бруса Хвоя "АВ" 20х141(135)х6000 мм 4 шт.() (Заказ)^|^^||1 150|0|0|0|0|9b70d3cd-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^корзина к дожд. (Заказ)^|^^||115|0|0|0|0|9b70d454-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^Е/вагонка липа "B/1" 15х95(87)х2000 мм 10 шт. (Заказ)^|^^||1 580|0|0|0|0|9b70d491-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^Е/вагонка липа "B/1" 15х95(87)х2100 мм 10 шт. (Заказ)^|^^||1 659|0|0|0|0|9b70d492-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^Е/вагонка липа "А/0" 15х95(87)х1200 мм 10 шт. (П)^|^^||792|0|0|0|0|9b70d49e-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
^Е/вагонка липа "А/0" 15х95(87)х1700 мм 10 шт.(Заказ)^|^^||900|0|0|0|0|9b70d4a3-8366-11e4-8508-d850e649679d|00000000-0000-0000-0000-000000000000||
